#distance(cm)	 time(ms) 
14.263000000000002	2532.0
14.365	2548.0
13.702000000000002	2563.0
13.719000000000001	2579.0
13.396	2595.0
13.090000000000002	2610.0
12.818000000000001	2626.0
12.648000000000001	2641.0
12.342	2657.0
12.954	2673.0
12.342	2688.0
13.158000000000001	2703.0
12.495000000000001	2720.0
11.985000000000001	2735.0
12.342	2750.0
12.801	2766.0
12.24	2782.0
12.699000000000002	2798.0
12.342	2813.0
12.104000000000001	2828.0
12.597000000000001	2845.0
12.342	2860.0
12.087000000000002	2875.0
12.342	2891.0
12.648000000000001	2906.0
12.393	2922.0
12.699000000000002	2938.0
12.988000000000001	2953.0
13.413	2969.0
13.192	2985.0
13.974	3000.0
14.280000000000001	3016.0
14.773000000000001	3031.0
15.436000000000002	3047.0
16.235	3063.0
16.252000000000002	3078.0
16.711000000000002	3095.0
17.051000000000002	3110.0
17.102	3126.0
17.51	3143.0
17.952	3160.0
18.428	3176.0
19.278000000000002	3193.0
20.196	3209.0
19.788	3227.0
20.655	3243.0
20.638	3259.0
21.403000000000002	3277.0
22.372	3293.0
22.78	3310.0
22.78	3326.0
23.477	3343.0
23.528000000000002	3360.0
23.885	3376.0
23.783	3393.0
24.446	3410.0
24.888	3426.0
25.534000000000002	3443.0
25.721	3460.0
26.027	3476.0
26.843000000000004	3493.0
27.149	3509.0
27.744000000000003	3527.0
28.458000000000002	3543.0
28.424000000000003	3559.0
29.121000000000002	3576.0
29.274	3593.0
29.070000000000004	3610.0
29.818	3626.0
29.580000000000002	3642.0
30.073	3660.0
30.226000000000003	3676.0
30.039	3693.0
30.481	3710.0
29.716	3726.0
29.818	3743.0
30.838	3759.0
30.787000000000003	3777.0
29.971000000000004	3793.0
29.971000000000004	3809.0
30.481	3826.0
30.328000000000003	3843.0
29.818	3859.0
30.974000000000004	3876.0
30.141000000000002	3892.0
30.277	3910.0
29.682000000000002	3926.0
29.461000000000002	3942.0
29.767000000000003	3959.0
29.121000000000002	3975.0
28.747000000000003	3993.0
28.509	4009.0
27.897000000000002	4025.0
27.659000000000002	4042.0
26.843000000000004	4059.0
26.537000000000003	4076.0
26.792	4092.0
26.078000000000003	4108.0
25.364	4125.0
24.956000000000003	4142.0
25.177000000000003	4158.0
24.14	4175.0
24.242	4191.0
23.783	4209.0
23.528000000000002	4225.0
23.579	4241.0
22.78	4258.0
22.253	4275.0
21.556	4292.0
21.607000000000003	4308.0
20.791	4324.0
20.400000000000002	4341.0
20.383000000000003	4358.0
20.349	4375.0
19.839000000000002	4391.0
18.921000000000003	4407.0
18.479000000000003	4425.0
18.02	4441.0
17.561	4457.0
17.102	4474.0
16.745	4490.0
16.643	4507.0
15.776000000000002	4522.0
14.977	4537.0
14.569	4553.0
14.620000000000001	4569.0
13.855	4584.0
13.090000000000002	4600.0
12.750000000000002	4615.0
12.954	4631.0
12.937000000000001	4647.0
12.648000000000001	4662.0
12.291	4678.0
12.087000000000002	4693.0
11.781	4708.0
12.291	4725.0
11.985000000000001	4740.0
11.288	4755.0
11.186	4771.0
10.421000000000001	4787.0
10.217	4803.0
10.013	4818.0
9.979000000000001	4833.0
9.316	4849.0
9.112	4865.0
9.401	4880.0
9.809000000000001	4896.0
8.908000000000001	4911.0
8.347000000000001	4927.0
8.347000000000001	4943.0
8.449	4958.0
8.908000000000001	4974.0
8.857000000000001	4990.0
9.367	5005.0
9.503	5021.0
9.316	5036.0
9.809000000000001	5052.0
10.013	5068.0
10.727	5083.0
11.084000000000001	5098.0
10.829	5115.0
11.594000000000001	5130.0
12.342	5146.0
12.359000000000002	5161.0
12.597000000000001	5177.0
12.954	5193.0
13.311000000000002	5208.0
12.903	5223.0
12.750000000000002	5240.0
13.107000000000001	5255.0
13.855	5271.0
14.671000000000001	5286.0
14.620000000000001	5302.0
14.977	5318.0
15.334000000000001	5333.0
15.742	5348.0
16.082	5365.0
16.439	5380.0
16.796000000000003	5395.0
17.153000000000002	5411.0
17.561	5428.0
18.360000000000003	5445.0
18.309	5461.0
19.125	5477.0
19.074	5495.0
19.822000000000003	5511.0
20.638	5528.0
20.893	5545.0
20.944000000000003	5561.0
21.301000000000002	5578.0
21.658	5594.0
21.454	5612.0
22.729000000000003	5628.0
22.576	5644.0
22.865000000000002	5661.0
23.477	5678.0
23.834000000000003	5694.0
24.089000000000002	5711.0
24.242	5728.0
24.446	5745.0
25.075000000000003	5761.0
24.922	5777.0
24.922	5795.0
25.534000000000002	5811.0
26.231	5828.0
25.976000000000003	5844.0
26.027	5861.0
