#distance(cm)	 time(ms) 
26.860000000000003	3114.0
27.013	3130.0
28.271	3147.0
28.577	3164.0
28.934	3180.0
29.274	3196.0
29.427000000000003	3214.0
29.580000000000002	3230.0
29.274	3247.0
29.444000000000003	3263.0
29.342000000000002	3280.0
29.733	3297.0
29.223000000000003	3313.0
29.631000000000004	3330.0
28.968000000000004	3347.0
29.240000000000002	3363.0
28.169	3380.0
28.016000000000002	3396.0
28.169	3414.0
27.302000000000003	3430.0
26.996000000000002	3446.0
27.149	3463.0
28.016000000000002	3479.0
27.863000000000003	3497.0
26.537000000000003	3513.0
25.789	3529.0
25.330000000000002	3546.0
24.871000000000002	3563.0
25.534000000000002	3579.0
24.803	3596.0
23.426000000000002	3612.0
22.474	3629.0
22.270000000000003	3646.0
22.236	3662.0
21.607000000000003	3679.0
21.403000000000002	3695.0
20.247	3713.0
20.145000000000003	3729.0
18.683	3745.0
18.02	3762.0
18.275000000000002	3778.0
16.762	3796.0
17.0	3811.0
15.946000000000002	3827.0
15.793000000000001	3843.0
14.484000000000002	3858.0
14.739	3874.0
13.753	3890.0
13.260000000000002	3905.0
12.801	3920.0
12.053	3936.0
11.526000000000002	3952.0
11.135000000000002	3968.0
10.778	3983.0
10.523000000000001	3998.0
10.166	4014.0
10.217	4030.0
9.520000000000001	4045.0
8.908000000000001	4061.0
9.112	4076.0
8.806000000000001	4092.0
8.653	4108.0
9.01	4123.0
8.5	4139.0
8.364	4155.0
8.296000000000001	4170.0
8.245000000000001	4186.0
8.347000000000001	4201.0
8.398000000000001	4216.0
7.939000000000001	4233.0
7.99	4248.0
9.061	4264.0
8.806000000000001	4279.0
8.857000000000001	4295.0
9.112	4311.0
9.826	4326.0
9.673	4341.0
10.217	4358.0
9.622	4373.0
10.88	4388.0
11.186	4404.0
11.781	4420.0
11.22	4436.0
11.985000000000001	4451.0
12.41	4466.0
12.614	4483.0
13.362	4498.0
13.260000000000002	4513.0
13.719000000000001	4529.0
13.515	4545.0
14.280000000000001	4560.0
15.028	4576.0
15.436000000000002	4591.0
15.232000000000001	4608.0
15.13	4623.0
16.286	4638.0
15.844000000000001	4654.0
15.589	4670.0
16.286	4685.0
16.949	4701.0
16.762	4716.0
17.408	4732.0
17.612000000000002	4749.0
18.224	4765.0
18.343	4783.0
18.479000000000003	4799.0
18.173000000000002	4815.0
18.683	4832.0
18.292	4849.0
17.918000000000003	4866.0
17.918000000000003	4882.0
18.326	4898.0
18.275000000000002	4916.0
18.632	4932.0
18.53	4949.0
17.561	4965.0
17.867	4981.0
17.714000000000002	4999.0
17.153000000000002	5015.0
17.425	5032.0
16.796000000000003	5048.0
17.051000000000002	5064.0
16.405	5081.0
17.051000000000002	5096.0
16.796000000000003	5112.0
16.150000000000002	5129.0
15.946000000000002	5144.0
15.691	5160.0
15.487000000000002	5175.0
15.334000000000001	5190.0
14.977	5207.0
14.331000000000001	5222.0
14.076	5237.0
14.382000000000001	5253.0
13.566	5269.0
13.719000000000001	5284.0
13.872000000000002	5300.0
13.158000000000001	5315.0
12.954	5331.0
12.546000000000001	5347.0
11.9	5362.0
11.628	5378.0
11.951	5393.0
11.186	5409.0
10.982000000000001	5425.0
10.778	5440.0
11.135000000000002	5455.0
10.115	5471.0
10.319	5487.0
10.625	5503.0
10.523000000000001	5518.0
10.574000000000002	5533.0
9.605	5550.0
10.064	5565.0
10.523000000000001	5580.0
11.135000000000002	5596.0
10.727	5612.0
9.962000000000002	5627.0
10.931000000000001	5643.0
11.186	5658.0
10.931000000000001	5674.0
11.441	5690.0
11.186	5705.0
11.951	5721.0
12.155000000000001	5736.0
12.24	5752.0
12.036000000000001	5768.0
12.699000000000002	5783.0
13.464	5798.0
12.750000000000002	5815.0
13.855	5830.0
13.668000000000001	5846.0
14.025	5861.0
13.719000000000001	5877.0
13.974	5893.0
15.028	5908.0
14.926000000000002	5923.0
15.096000000000002	5940.0
14.824000000000002	5955.0
15.487000000000002	5971.0
16.201	5986.0
15.895000000000001	6002.0
15.64	6018.0
16.201	6033.0
15.895000000000001	6048.0
15.997000000000002	6065.0
16.099	6080.0
16.592000000000002	6095.0
16.252000000000002	6111.0
16.303	6127.0
16.354000000000003	6143.0
16.354000000000003	6158.0
16.354000000000003	6173.0
16.762	6190.0
16.252000000000002	6205.0
16.592000000000002	6220.0
16.048000000000002	6236.0
16.048000000000002	6251.0
16.66	6267.0
16.507	6283.0
15.946000000000002	6298.0
15.793000000000001	6314.0
15.64	6330.0
15.895000000000001	6345.0
15.691	6361.0
15.079	6376.0
14.586	6391.0
14.722000000000001	6408.0
14.535000000000002	6423.0
14.365	6438.0
14.280000000000001	6454.0
13.974	6470.0
14.178	6486.0
13.515	6501.0
13.260000000000002	6516.0
13.107000000000001	6532.0
12.342	6548.0
12.087000000000002	6563.0
12.291	6579.0
12.138000000000002	6594.0
11.832	6611.0
11.628	6626.0
11.492	6641.0
10.982000000000001	6657.0
10.88	6672.0
11.135000000000002	6688.0
10.625	6704.0
11.135000000000002	6719.0
11.084000000000001	6734.0
11.441	6751.0
11.033000000000001	6766.0
10.676	6782.0
11.288	6797.0
10.829	6813.0
11.798	6829.0
11.475000000000001	6844.0
11.288	6859.0
11.339	6876.0
11.934000000000001	6891.0
11.237	6906.0
12.359000000000002	6922.0
12.002	6938.0
12.597000000000001	6954.0
12.342	6969.0
13.056000000000001	6984.0
13.158000000000001	7001.0
13.770000000000001	7016.0
13.566	7031.0
13.770000000000001	7047.0
13.974	7063.0
13.719000000000001	7078.0
14.314000000000002	7094.0
14.467	7109.0
14.331000000000001	7125.0
14.365	7141.0
14.484000000000002	7156.0
15.028	7172.0
15.232000000000001	7187.0
14.773000000000001	7203.0
14.841000000000001	7219.0
14.875000000000002	7234.0
14.977	7249.0
15.334000000000001	7266.0
14.875000000000002	7281.0
15.283000000000001	7297.0
15.232000000000001	7312.0
14.722000000000001	7328.0
15.028	7344.0
15.334000000000001	7359.0
14.365	7374.0
14.739	7390.0
14.484000000000002	7406.0
14.314000000000002	7422.0
14.127	7437.0
14.076	7452.0
14.212000000000002	7469.0
13.209000000000001	7484.0
13.923000000000002	7499.0
13.311000000000002	7515.0
13.226	7531.0
13.515	7546.0
13.362	7562.0
12.393	7577.0
12.393	7593.0
13.056000000000001	7609.0
12.546000000000001	7624.0
12.954	7640.0
13.056000000000001	7655.0
12.546000000000001	7671.0
13.005	7687.0
12.648000000000001	7702.0
12.393	7717.0
12.801	7734.0
12.903	7749.0
13.464	7765.0
12.750000000000002	7780.0
13.413	7795.0
13.464	7812.0
13.617	7827.0
13.770000000000001	7842.0
13.617	7858.0
14.076	7874.0
14.620000000000001	7889.0
14.314000000000002	7905.0
14.076	7920.0
14.467	7937.0
14.518	7952.0
14.586	7967.0
14.722000000000001	7983.0
14.620000000000001	7999.0
14.620000000000001	8014.0
14.569	8030.0
14.926000000000002	8045.0
14.433000000000002	8062.0
14.331000000000001	8077.0
14.229000000000001	8092.0
13.668000000000001	8108.0
14.076	8123.0
13.821000000000002	8139.0
13.668000000000001	8155.0
13.107000000000001	8170.0
13.464	8185.0
13.260000000000002	8202.0
12.750000000000002	8217.0
12.699000000000002	8233.0
13.617	8248.0
13.056000000000001	8264.0
13.056000000000001	8280.0
13.056000000000001	8295.0
13.107000000000001	8310.0
13.260000000000002	8326.0
13.209000000000001	8342.0
12.852	8357.0
13.362	8373.0
14.025	8388.0
13.158000000000001	8405.0
13.651000000000002	8420.0
14.212000000000002	8435.0
14.025	8451.0
14.025	8467.0
14.535000000000002	8482.0
14.178	8498.0
14.671000000000001	8513.0
14.722000000000001	8529.0
14.331000000000001	8545.0
14.331000000000001	8560.0
14.314000000000002	8576.0
14.348	8592.0
14.212000000000002	8607.0
14.178	8623.0
14.076	8638.0
13.668000000000001	8653.0
14.314000000000002	8670.0
13.770000000000001	8685.0
13.668000000000001	8700.0
13.668000000000001	8716.0
13.464	8732.0
13.362	8748.0
12.852	8763.0
12.801	8778.0
12.903	8794.0
13.209000000000001	8810.0
13.209000000000001	8825.0
12.801	8841.0
13.362	8856.0
13.311000000000002	8873.0
13.413	8888.0
13.515	8903.0
13.719000000000001	8919.0
13.260000000000002	8935.0
14.229000000000001	8950.0
14.331000000000001	8966.0
13.668000000000001	8981.0
13.617	8997.0
13.668000000000001	9013.0
14.110000000000001	9028.0
14.586	9044.0
14.586	9060.0
14.518	9075.0
13.617	9091.0
13.974	9106.0
13.974	9121.0
13.719000000000001	9138.0
13.209000000000001	9153.0
13.107000000000001	9168.0
13.515	9184.0
13.311000000000002	9200.0
12.801	9216.0
13.209000000000001	9231.0
12.852	9246.0
12.461	9262.0
12.801	9278.0
12.852	9293.0
13.362	9309.0
14.025	9325.0
13.158000000000001	9340.0
13.260000000000002	9356.0
13.821000000000002	9371.0
13.617	9387.0
14.008000000000001	9403.0
14.518	9419.0
14.161000000000001	9436.0
14.739	9452.0
14.178	9470.0
14.127	9486.0
13.617	9502.0
14.025	9519.0
13.821000000000002	9536.0
13.260000000000002	9552.0
13.566	9569.0
13.974	9585.0
13.311000000000002	9603.0
12.801	9619.0
12.750000000000002	9635.0
13.260000000000002	9652.0
13.158000000000001	9669.0
13.158000000000001	9686.0
12.750000000000002	9702.0
12.903	9718.0
12.852	9736.0
13.753	9752.0
13.413	9769.0
13.566	9785.0
13.515	9802.0
13.566	9819.0
13.566	9835.0
13.668000000000001	9851.0
13.974	9869.0
13.515	9885.0
13.464	9902.0
13.515	9918.0
13.362	9935.0
13.311000000000002	9952.0
13.260000000000002	9968.0
12.920000000000002	9985.0
12.767000000000001	10002.0
